2g1c,00110010011001110011000101100011
2 girls 1 cup,00110010001000000110011101101001011100100110110001110011001000000011000100100000011000110111010101110000
acrotomophilia,0110000101100011011100100110111101110100011011110110110101101111011100000110100001101001011011000110100101100001
alabama hot pocket,011000010110110001100001011000100110000101101101011000010010000001101000011011110111010000100000011100000110111101100011011010110110010101110100
alaskan pipeline,01100001011011000110000101110011011010110110000101101110001000000111000001101001011100000110010101101100011010010110111001100101
anal,01100001011011100110000101101100
anilingus,011000010110111001101001011011000110100101101110011001110111010101110011
anus,01100001011011100111010101110011
apeshit,01100001011100000110010101110011011010000110100101110100
arsehole,0110000101110010011100110110010101101000011011110110110001100101
ass,011000010111001101110011
asshole,01100001011100110111001101101000011011110110110001100101
assmunch,0110000101110011011100110110110101110101011011100110001101101000
auto erotic,0110000101110101011101000110111100100000011001010111001001101111011101000110100101100011
autoerotic,01100001011101010111010001101111011001010111001001101111011101000110100101100011
babeland,0110001001100001011000100110010101101100011000010110111001100100
baby batter,0110001001100001011000100111100100100000011000100110000101110100011101000110010101110010
baby juice,01100010011000010110001001111001001000000110101001110101011010010110001101100101
ball gag,0110001001100001011011000110110000100000011001110110000101100111
ball gravy,01100010011000010110110001101100001000000110011101110010011000010111011001111001
ball kicking,011000100110000101101100011011000010000001101011011010010110001101101011011010010110111001100111
ball licking,011000100110000101101100011011000010000001101100011010010110001101101011011010010110111001100111
ball sack,011000100110000101101100011011000010000001110011011000010110001101101011
ball sucking,011000100110000101101100011011000010000001110011011101010110001101101011011010010110111001100111
bangbros,0110001001100001011011100110011101100010011100100110111101110011
bangbus,01100010011000010110111001100111011000100111010101110011
bareback,0110001001100001011100100110010101100010011000010110001101101011
barely legal,011000100110000101110010011001010110110001111001001000000110110001100101011001110110000101101100
barenaked,011000100110000101110010011001010110111001100001011010110110010101100100
bastard,01100010011000010111001101110100011000010111001001100100
bastardo,0110001001100001011100110111010001100001011100100110010001101111
bastinado,011000100110000101110011011101000110100101101110011000010110010001101111
bbw,011000100110001001110111
bdsm,01100010011001000111001101101101
beaner,011000100110010101100001011011100110010101110010
beaners,01100010011001010110000101101110011001010111001001110011
beaver cleaver,0110001001100101011000010111011001100101011100100010000001100011011011000110010101100001011101100110010101110010
beaver lips,0110001001100101011000010111011001100101011100100010000001101100011010010111000001110011
beastiality,0110001001100101011000010111001101110100011010010110000101101100011010010111010001111001
bestiality,01100010011001010111001101110100011010010110000101101100011010010111010001111001
big black,011000100110100101100111001000000110001001101100011000010110001101101011
big breasts,0110001001101001011001110010000001100010011100100110010101100001011100110111010001110011
big knockers,011000100110100101100111001000000110101101101110011011110110001101101011011001010111001001110011
big tits,0110001001101001011001110010000001110100011010010111010001110011
bimbos,011000100110100101101101011000100110111101110011
birdlock,0110001001101001011100100110010001101100011011110110001101101011
bitch,0110001001101001011101000110001101101000
bitches,01100010011010010111010001100011011010000110010101110011
black cock,01100010011011000110000101100011011010110010000001100011011011110110001101101011
blonde action,01100010011011000110111101101110011001000110010100100000011000010110001101110100011010010110111101101110
blonde on blonde action,0110001001101100011011110110111001100100011001010010000001101111011011100010000001100010011011000110111101101110011001000110010100100000011000010110001101110100011010010110111101101110
blowjob,01100010011011000110111101110111011010100110111101100010
blow job,0110001001101100011011110111011100100000011010100110111101100010
blow your load,0110001001101100011011110111011100100000011110010110111101110101011100100010000001101100011011110110000101100100
blue waffle,0110001001101100011101010110010100100000011101110110000101100110011001100110110001100101
blumpkin,0110001001101100011101010110110101110000011010110110100101101110
bollocks,0110001001101111011011000110110001101111011000110110101101110011
bondage,01100010011011110110111001100100011000010110011101100101
boner,0110001001101111011011100110010101110010
boob,01100010011011110110111101100010
boobs,0110001001101111011011110110001001110011
booty call,01100010011011110110111101110100011110010010000001100011011000010110110001101100
brown showers,01100010011100100110111101110111011011100010000001110011011010000110111101110111011001010111001001110011
brunette action,011000100111001001110101011011100110010101110100011101000110010100100000011000010110001101110100011010010110111101101110
bukkake,01100010011101010110101101101011011000010110101101100101
bulldyke,0110001001110101011011000110110001100100011110010110101101100101
bullet vibe,0110001001110101011011000110110001100101011101000010000001110110011010010110001001100101
bullshit,0110001001110101011011000110110001110011011010000110100101110100
bung hole,011000100111010101101110011001110010000001101000011011110110110001100101
bunghole,0110001001110101011011100110011101101000011011110110110001100101
busty,0110001001110101011100110111010001111001
butt,01100010011101010111010001110100
buttcheeks,01100010011101010111010001110100011000110110100001100101011001010110101101110011
butthole,0110001001110101011101000111010001101000011011110110110001100101
camel toe,011000110110000101101101011001010110110000100000011101000110111101100101
camgirl,01100011011000010110110101100111011010010111001001101100
camslut,01100011011000010110110101110011011011000111010101110100
camwhore,0110001101100001011011010111011101101000011011110111001001100101
carpet muncher,0110001101100001011100100111000001100101011101000010000001101101011101010110111001100011011010000110010101110010
carpetmuncher,01100011011000010111001001110000011001010111010001101101011101010110111001100011011010000110010101110010
chocolate rosebuds,011000110110100001101111011000110110111101101100011000010111010001100101001000000111001001101111011100110110010101100010011101010110010001110011
cialis,011000110110100101100001011011000110100101110011
circlejerk,01100011011010010111001001100011011011000110010101101010011001010111001001101011
cleveland steamer,0110001101101100011001010111011001100101011011000110000101101110011001000010000001110011011101000110010101100001011011010110010101110010
clit,01100011011011000110100101110100
clitoris,0110001101101100011010010111010001101111011100100110100101110011
clover clamps,01100011011011000110111101110110011001010111001000100000011000110110110001100001011011010111000001110011
clusterfuck,0110001101101100011101010111001101110100011001010111001001100110011101010110001101101011
cock,01100011011011110110001101101011
cocks,0110001101101111011000110110101101110011
coprolagnia,0110001101101111011100000111001001101111011011000110000101100111011011100110100101100001
coprophilia,0110001101101111011100000111001001101111011100000110100001101001011011000110100101100001
cornhole,0110001101101111011100100110111001101000011011110110110001100101
coon,01100011011011110110111101101110
coons,0110001101101111011011110110111001110011
creampie,0110001101110010011001010110000101101101011100000110100101100101
cum,011000110111010101101101
cumming,01100011011101010110110101101101011010010110111001100111
cumshot,01100011011101010110110101110011011010000110111101110100
cumshots,0110001101110101011011010111001101101000011011110111010001110011
cunnilingus,0110001101110101011011100110111001101001011011000110100101101110011001110111010101110011
cunt,01100011011101010110111001110100
darkie,011001000110000101110010011010110110100101100101
date rape,011001000110000101110100011001010010000001110010011000010111000001100101
daterape,0110010001100001011101000110010101110010011000010111000001100101
deep throat,0110010001100101011001010111000000100000011101000110100001110010011011110110000101110100
deepthroat,01100100011001010110010101110000011101000110100001110010011011110110000101110100
dendrophilia,011001000110010101101110011001000111001001101111011100000110100001101001011011000110100101100001
dick,01100100011010010110001101101011
dildo,0110010001101001011011000110010001101111
dingleberry,0110010001101001011011100110011101101100011001010110001001100101011100100111001001111001
dingleberries,01100100011010010110111001100111011011000110010101100010011001010111001001110010011010010110010101110011
dirty pillows,01100100011010010111001001110100011110010010000001110000011010010110110001101100011011110111011101110011
dirty sanchez,01100100011010010111001001110100011110010010000001110011011000010110111001100011011010000110010101111010
doggie style,011001000110111101100111011001110110100101100101001000000111001101110100011110010110110001100101
doggiestyle,0110010001101111011001110110011101101001011001010111001101110100011110010110110001100101
doggy style,0110010001101111011001110110011101111001001000000111001101110100011110010110110001100101
doggystyle,01100100011011110110011101100111011110010111001101110100011110010110110001100101
dog style,011001000110111101100111001000000111001101110100011110010110110001100101
dolcett,01100100011011110110110001100011011001010111010001110100
domination,01100100011011110110110101101001011011100110000101110100011010010110111101101110
dominatrix,01100100011011110110110101101001011011100110000101110100011100100110100101111000
dommes,011001000110111101101101011011010110010101110011
donkey punch,011001000110111101101110011010110110010101111001001000000111000001110101011011100110001101101000
double dong,0110010001101111011101010110001001101100011001010010000001100100011011110110111001100111
double penetration,011001000110111101110101011000100110110001100101001000000111000001100101011011100110010101110100011100100110000101110100011010010110111101101110
dp action,011001000111000000100000011000010110001101110100011010010110111101101110
dry hump,0110010001110010011110010010000001101000011101010110110101110000
dvda,01100100011101100110010001100001
eat my ass,01100101011000010111010000100000011011010111100100100000011000010111001101110011
ecchi,0110010101100011011000110110100001101001
ejaculation,0110010101101010011000010110001101110101011011000110000101110100011010010110111101101110
erotic,011001010111001001101111011101000110100101100011
erotism,01100101011100100110111101110100011010010111001101101101
escort,011001010111001101100011011011110111001001110100
eunuch,011001010111010101101110011101010110001101101000
fag,011001100110000101100111
faggot,011001100110000101100111011001110110111101110100
fecal,0110011001100101011000110110000101101100
felch,0110011001100101011011000110001101101000
fellatio,0110011001100101011011000110110001100001011101000110100101101111
feltch,011001100110010101101100011101000110001101101000
female squirting,01100110011001010110110101100001011011000110010100100000011100110111000101110101011010010111001001110100011010010110111001100111
femdom,011001100110010101101101011001000110111101101101
figging,01100110011010010110011101100111011010010110111001100111
fingerbang,01100110011010010110111001100111011001010111001001100010011000010110111001100111
fingering,011001100110100101101110011001110110010101110010011010010110111001100111
fisting,01100110011010010111001101110100011010010110111001100111
foot fetish,0110011001101111011011110111010000100000011001100110010101110100011010010111001101101000
footjob,01100110011011110110111101110100011010100110111101100010
frotting,0110011001110010011011110111010001110100011010010110111001100111
fuck,01100110011101010110001101101011
fuck buttons,011001100111010101100011011010110010000001100010011101010111010001110100011011110110111001110011
fuckin,011001100111010101100011011010110110100101101110
fucking,01100110011101010110001101101011011010010110111001100111
fucktards,011001100111010101100011011010110111010001100001011100100110010001110011
fudge packer,011001100111010101100100011001110110010100100000011100000110000101100011011010110110010101110010
fudgepacker,0110011001110101011001000110011101100101011100000110000101100011011010110110010101110010
futanari,0110011001110101011101000110000101101110011000010111001001101001
gangbang,0110011101100001011011100110011101100010011000010110111001100111
gang bang,011001110110000101101110011001110010000001100010011000010110111001100111
gay sex,01100111011000010111100100100000011100110110010101111000
genitals,0110011101100101011011100110100101110100011000010110110001110011
giant cock,01100111011010010110000101101110011101000010000001100011011011110110001101101011
girl on,01100111011010010111001001101100001000000110111101101110
girl on top,0110011101101001011100100110110000100000011011110110111000100000011101000110111101110000
girls gone wild,011001110110100101110010011011000111001100100000011001110110111101101110011001010010000001110111011010010110110001100100
goatcx,011001110110111101100001011101000110001101111000
goatse,011001110110111101100001011101000111001101100101
god damn,0110011101101111011001000010000001100100011000010110110101101110
gokkun,011001110110111101101011011010110111010101101110
golden shower,01100111011011110110110001100100011001010110111000100000011100110110100001101111011101110110010101110010
goodpoop,0110011101101111011011110110010001110000011011110110111101110000
goo girl,0110011101101111011011110010000001100111011010010111001001101100
goregasm,0110011101101111011100100110010101100111011000010111001101101101
grope,0110011101110010011011110111000001100101
group sex,011001110111001001101111011101010111000000100000011100110110010101111000
g-spot,011001110010110101110011011100000110111101110100
guro,01100111011101010111001001101111
hand job,0110100001100001011011100110010000100000011010100110111101100010
handjob,01101000011000010110111001100100011010100110111101100010
hard core,011010000110000101110010011001000010000001100011011011110111001001100101
hardcore,0110100001100001011100100110010001100011011011110111001001100101
hentai,011010000110010101101110011101000110000101101001
homoerotic,01101000011011110110110101101111011001010111001001101111011101000110100101100011
honkey,011010000110111101101110011010110110010101111001
hooker,011010000110111101101111011010110110010101110010
horny,0110100001101111011100100110111001111001
hot carl,0110100001101111011101000010000001100011011000010111001001101100
hot chick,011010000110111101110100001000000110001101101000011010010110001101101011
how to kill,0110100001101111011101110010000001110100011011110010000001101011011010010110110001101100
how to murder,01101000011011110111011100100000011101000110111100100000011011010111010101110010011001000110010101110010
huge fat,0110100001110101011001110110010100100000011001100110000101110100
humping,01101000011101010110110101110000011010010110111001100111
incest,011010010110111001100011011001010111001101110100
intercourse,0110100101101110011101000110010101110010011000110110111101110101011100100111001101100101
jack off,0110101001100001011000110110101100100000011011110110011001100110
jail bait,011010100110000101101001011011000010000001100010011000010110100101110100
jailbait,0110101001100001011010010110110001100010011000010110100101110100
jelly donut,0110101001100101011011000110110001111001001000000110010001101111011011100111010101110100
jerk off,0110101001100101011100100110101100100000011011110110011001100110
jigaboo,01101010011010010110011101100001011000100110111101101111
jiggaboo,0110101001101001011001110110011101100001011000100110111101101111
jiggerboo,011010100110100101100111011001110110010101110010011000100110111101101111
jizz,01101010011010010111101001111010
juggs,0110101001110101011001110110011101110011
kike,01101011011010010110101101100101
kinbaku,01101011011010010110111001100010011000010110101101110101
kinkster,0110101101101001011011100110101101110011011101000110010101110010
kinky,0110101101101001011011100110101101111001
knobbing,0110101101101110011011110110001001100010011010010110111001100111
leather restraint,0110110001100101011000010111010001101000011001010111001000100000011100100110010101110011011101000111001001100001011010010110111001110100
leather straight jacket,0110110001100101011000010111010001101000011001010111001000100000011100110111010001110010011000010110100101100111011010000111010000100000011010100110000101100011011010110110010101110100
lemon party,0110110001100101011011010110111101101110001000000111000001100001011100100111010001111001
livesex,01101100011010010111011001100101011100110110010101111000
lolita,011011000110111101101100011010010111010001100001
lovemaking,01101100011011110111011001100101011011010110000101101011011010010110111001100111
make me come,011011010110000101101011011001010010000001101101011001010010000001100011011011110110110101100101
male squirting,0110110101100001011011000110010100100000011100110111000101110101011010010111001001110100011010010110111001100111
masturbate,01101101011000010111001101110100011101010111001001100010011000010111010001100101
masturbating,011011010110000101110011011101000111010101110010011000100110000101110100011010010110111001100111
masturbation,011011010110000101110011011101000111010101110010011000100110000101110100011010010110111101101110
menage a trois,0110110101100101011011100110000101100111011001010010000001100001001000000111010001110010011011110110100101110011
milf,01101101011010010110110001100110
missionary position,01101101011010010111001101110011011010010110111101101110011000010111001001111001001000000111000001101111011100110110100101110100011010010110111101101110
mong,01101101011011110110111001100111
motherfucker,011011010110111101110100011010000110010101110010011001100111010101100011011010110110010101110010
mound of venus,0110110101101111011101010110111001100100001000000110111101100110001000000111011001100101011011100111010101110011
mr hands,0110110101110010001000000110100001100001011011100110010001110011
muff diver,01101101011101010110011001100110001000000110010001101001011101100110010101110010
muffdiving,01101101011101010110011001100110011001000110100101110110011010010110111001100111
nambla,011011100110000101101101011000100110110001100001
nawashi,01101110011000010111011101100001011100110110100001101001
negro,0110111001100101011001110111001001101111
neonazi,01101110011001010110111101101110011000010111101001101001
nigga,0110111001101001011001110110011101100001
nigger,011011100110100101100111011001110110010101110010
nig nog,01101110011010010110011100100000011011100110111101100111
nimphomania,0110111001101001011011010111000001101000011011110110110101100001011011100110100101100001
nipple,011011100110100101110000011100000110110001100101
nipples,01101110011010010111000001110000011011000110010101110011
nsfw,01101110011100110110011001110111
nsfw images,0110111001110011011001100111011100100000011010010110110101100001011001110110010101110011
nude,01101110011101010110010001100101
nudity,011011100111010101100100011010010111010001111001
nutten,011011100111010101110100011101000110010101101110
nympho,011011100111100101101101011100000110100001101111
nymphomania,0110111001111001011011010111000001101000011011110110110101100001011011100110100101100001
octopussy,011011110110001101110100011011110111000001110101011100110111001101111001
omorashi,0110111101101101011011110111001001100001011100110110100001101001
one cup two girls,0110111101101110011001010010000001100011011101010111000000100000011101000111011101101111001000000110011101101001011100100110110001110011
one guy one jar,011011110110111001100101001000000110011101110101011110010010000001101111011011100110010100100000011010100110000101110010
orgasm,011011110111001001100111011000010111001101101101
orgy,01101111011100100110011101111001
paedophile,01110000011000010110010101100100011011110111000001101000011010010110110001100101
paki,01110000011000010110101101101001
panties,01110000011000010110111001110100011010010110010101110011
panty,0111000001100001011011100111010001111001
pedobear,0111000001100101011001000110111101100010011001010110000101110010
pedophile,011100000110010101100100011011110111000001101000011010010110110001100101
pegging,01110000011001010110011101100111011010010110111001100111
penis,0111000001100101011011100110100101110011
phone sex,011100000110100001101111011011100110010100100000011100110110010101111000
piece of shit,01110000011010010110010101100011011001010010000001101111011001100010000001110011011010000110100101110100
pikey,0111000001101001011010110110010101111001
pissing,01110000011010010111001101110011011010010110111001100111
piss pig,0111000001101001011100110111001100100000011100000110100101100111
pisspig,01110000011010010111001101110011011100000110100101100111
playboy,01110000011011000110000101111001011000100110111101111001
pleasure chest,0111000001101100011001010110000101110011011101010111001001100101001000000110001101101000011001010111001101110100
pole smoker,0111000001101111011011000110010100100000011100110110110101101111011010110110010101110010
ponyplay,0111000001101111011011100111100101110000011011000110000101111001
poof,01110000011011110110111101100110
poon,01110000011011110110111101101110
poontang,0111000001101111011011110110111001110100011000010110111001100111
punany,011100000111010101101110011000010110111001111001
poop chute,01110000011011110110111101110000001000000110001101101000011101010111010001100101
poopchute,011100000110111101101111011100000110001101101000011101010111010001100101
porn,01110000011011110111001001101110
porno,0111000001101111011100100110111001101111
pornography,0111000001101111011100100110111001101111011001110111001001100001011100000110100001111001
prince albert piercing,01110000011100100110100101101110011000110110010100100000011000010110110001100010011001010111001001110100001000000111000001101001011001010111001001100011011010010110111001100111
pthc,01110000011101000110100001100011
pubes,0111000001110101011000100110010101110011
pussy,0111000001110101011100110111001101111001
queaf,0111000101110101011001010110000101100110
queef,0111000101110101011001010110010101100110
quim,01110001011101010110100101101101
raghead,01110010011000010110011101101000011001010110000101100100
raging boner,011100100110000101100111011010010110111001100111001000000110001001101111011011100110010101110010
rape,01110010011000010111000001100101
raping,011100100110000101110000011010010110111001100111
rapist,011100100110000101110000011010010111001101110100
rectum,011100100110010101100011011101000111010101101101
reverse cowgirl,011100100110010101110110011001010111001001110011011001010010000001100011011011110111011101100111011010010111001001101100
rimjob,011100100110100101101101011010100110111101100010
rimming,01110010011010010110110101101101011010010110111001100111
rosy palm,011100100110111101110011011110010010000001110000011000010110110001101101
rosy palm and her 5 sisters,011100100110111101110011011110010010000001110000011000010110110001101101001000000110000101101110011001000010000001101000011001010111001000100000001101010010000001110011011010010111001101110100011001010111001001110011
rusty trombone,0111001001110101011100110111010001111001001000000111010001110010011011110110110101100010011011110110111001100101
sadism,011100110110000101100100011010010111001101101101
santorum,0111001101100001011011100111010001101111011100100111010101101101
scat,01110011011000110110000101110100
schlong,01110011011000110110100001101100011011110110111001100111
scissoring,01110011011000110110100101110011011100110110111101110010011010010110111001100111
semen,0111001101100101011011010110010101101110
sex,011100110110010101111000
sexcam,011100110110010101111000011000110110000101101101
sexo,01110011011001010111100001101111
sexy,01110011011001010111100001111001
sexual,011100110110010101111000011101010110000101101100
sexually,0111001101100101011110000111010101100001011011000110110001111001
sexuality,011100110110010101111000011101010110000101101100011010010111010001111001
shaved beaver,01110011011010000110000101110110011001010110010000100000011000100110010101100001011101100110010101110010
shaved pussy,011100110110100001100001011101100110010101100100001000000111000001110101011100110111001101111001
shemale,01110011011010000110010101101101011000010110110001100101
shibari,01110011011010000110100101100010011000010111001001101001
shit,01110011011010000110100101110100
shitblimp,011100110110100001101001011101000110001001101100011010010110110101110000
shitty,011100110110100001101001011101000111010001111001
shota,0111001101101000011011110111010001100001
shrimping,011100110110100001110010011010010110110101110000011010010110111001100111
skeet,0111001101101011011001010110010101110100
slanteye,0111001101101100011000010110111001110100011001010111100101100101
slut,01110011011011000111010101110100
s&m,011100110010011001101101
smut,01110011011011010111010101110100
snatch,011100110110111001100001011101000110001101101000
snowballing,0111001101101110011011110111011101100010011000010110110001101100011010010110111001100111
sodomize,0111001101101111011001000110111101101101011010010111101001100101
sodomy,011100110110111101100100011011110110110101111001
spastic,01110011011100000110000101110011011101000110100101100011
spic,01110011011100000110100101100011
splooge,01110011011100000110110001101111011011110110011101100101
splooge moose,01110011011100000110110001101111011011110110011101100101001000000110110101101111011011110111001101100101
spooge,011100110111000001101111011011110110011101100101
spread legs,0111001101110000011100100110010101100001011001000010000001101100011001010110011101110011
spunk,0111001101110000011101010110111001101011
strap on,0111001101110100011100100110000101110000001000000110111101101110
strapon,01110011011101000111001001100001011100000110111101101110
strappado,011100110111010001110010011000010111000001110000011000010110010001101111
strip club,01110011011101000111001001101001011100000010000001100011011011000111010101100010
style doggy,0111001101110100011110010110110001100101001000000110010001101111011001110110011101111001
suck,01110011011101010110001101101011
sucks,0111001101110101011000110110101101110011
suicide girls,01110011011101010110100101100011011010010110010001100101001000000110011101101001011100100110110001110011
sultry women,011100110111010101101100011101000111001001111001001000000111011101101111011011010110010101101110
swastika,0111001101110111011000010111001101110100011010010110101101100001
swinger,01110011011101110110100101101110011001110110010101110010
tainted love,011101000110000101101001011011100111010001100101011001000010000001101100011011110111011001100101
taste my,0111010001100001011100110111010001100101001000000110110101111001
tea bagging,0111010001100101011000010010000001100010011000010110011101100111011010010110111001100111
threesome,011101000110100001110010011001010110010101110011011011110110110101100101
throating,011101000110100001110010011011110110000101110100011010010110111001100111
thumbzilla,01110100011010000111010101101101011000100111101001101001011011000110110001100001
tied up,01110100011010010110010101100100001000000111010101110000
tight white,0111010001101001011001110110100001110100001000000111011101101000011010010111010001100101
tit,011101000110100101110100
tits,01110100011010010111010001110011
titties,01110100011010010111010001110100011010010110010101110011
titty,0111010001101001011101000111010001111001
tongue in a,0111010001101111011011100110011101110101011001010010000001101001011011100010000001100001
topless,01110100011011110111000001101100011001010111001101110011
tosser,011101000110111101110011011100110110010101110010
towelhead,011101000110111101110111011001010110110001101000011001010110000101100100
tranny,011101000111001001100001011011100110111001111001
tribadism,011101000111001001101001011000100110000101100100011010010111001101101101
tub girl,0111010001110101011000100010000001100111011010010111001001101100
tubgirl,01110100011101010110001001100111011010010111001001101100
tushy,0111010001110101011100110110100001111001
twat,01110100011101110110000101110100
twink,0111010001110111011010010110111001101011
twinkie,01110100011101110110100101101110011010110110100101100101
two girls one cup,0111010001110111011011110010000001100111011010010111001001101100011100110010000001101111011011100110010100100000011000110111010101110000
undressing,01110101011011100110010001110010011001010111001101110011011010010110111001100111
upskirt,01110101011100000111001101101011011010010111001001110100
urethra play,011101010111001001100101011101000110100001110010011000010010000001110000011011000110000101111001
urophilia,011101010111001001101111011100000110100001101001011011000110100101100001
vagina,011101100110000101100111011010010110111001100001
venus mound,0111011001100101011011100111010101110011001000000110110101101111011101010110111001100100
viagra,011101100110100101100001011001110111001001100001
vibrator,0111011001101001011000100111001001100001011101000110111101110010
violet wand,0111011001101001011011110110110001100101011101000010000001110111011000010110111001100100
vorarephilia,011101100110111101110010011000010111001001100101011100000110100001101001011011000110100101100001
voyeur,011101100110111101111001011001010111010101110010
voyeurweb,011101100110111101111001011001010111010101110010011101110110010101100010
voyuer,011101100110111101111001011101010110010101110010
vulva,0111011001110101011011000111011001100001
wank,01110111011000010110111001101011
wetback,01110111011001010111010001100010011000010110001101101011
wet dream,011101110110010101110100001000000110010001110010011001010110000101101101
white power,0111011101101000011010010111010001100101001000000111000001101111011101110110010101110010
whore,0111011101101000011011110111001001100101
worldsex,0111011101101111011100100110110001100100011100110110010101111000
wrapping men,011101110111001001100001011100000111000001101001011011100110011100100000011011010110010101101110
wrinkled starfish,0111011101110010011010010110111001101011011011000110010101100100001000000111001101110100011000010111001001100110011010010111001101101000
xx,0111100001111000
xxx,011110000111100001111000
yaoi,01111001011000010110111101101001
yellow showers,0111100101100101011011000110110001101111011101110010000001110011011010000110111101110111011001010111001001110011
yiffy,0111100101101001011001100110011001111001
zoophilia,011110100110111101101111011100000110100001101001011011000110100101100001
